id,doi,year,author,title,organism,phenomena,cited_by_count,n_citations,n_sci_citations,n_historiographic,n_same_organism_citations,n_parallels,n_parallel_same_organism,n_parallel_same_organism_uncited,parallels_total_estimate,convergence_axis,top_parallel_dois,rediscovery_verified,layer
70,10.1007/bf02254265,1925,Weiss,Unabhängigkeit der Extremitätenregeneration vom Skelett (bei Triton cristatus),Triton cristatus,"regeneration, morphology",54,54,54,0,6,49,24,24,622,C2 – Same genus active (modern name),10.1007/s12038-019-9950-y; 10.33256/hj29.2.8294; 10.13128/ijae-25468; 10.1016/j.ympev.2018.12.032; 10.2174/157016461204160119164729,,Layer 2
71,10.1007/bf02254266,1925,Paul Weiß,Die seitliche Regeneration der Urodelenextremität,,regeneration,9,9,9,0,0,0,0,0,0,C5 – No modern parallel,,,Layer 3
72,10.1007/bf02254267,1925,Weiss,Winkelmessungen am Schmetterlingsflügel,Lepidoptera,"regeneration, growth",5,5,5,0,0,29,0,0,5020,C3 – Related taxon active,,,Layer 3
73,10.1007/bf02254268,1925,Burt,"The head and foot of Pelmatohydra oligactis, pall., as unipotent systems",Pelmatohydra oligactis,heteromorphosis,16,16,16,0,10,2,0,0,4,C4 – Phenomenon only,,,Layer 1
74,10.1007/bf02254269,1925,Hans Przibram,"Direkte Temperaturabhängigkeit der Schwanzlänge bei Ratten, Mus (Epimys) decumanus Pall. und M. (E.) rattus L.",Mus,"thermal_modification, developmental_mechanics",6,6,5,1,1,56,45,45,76934,C2 – Same genus active,10.30802/aalas-jaalas-23-000091; 10.1016/j.applanim.2021.105541; 10.1016/j.memsci.2021.119868; 10.20473/ovz.v10i1.2021.18-24; 10.3847/1538-4357/abde38,,Layer 2
75,10.1007/bf02254270,1925,Hans Przibram,"Die Schwanzlänge bei Ratten, Mus (Epimys) decumanus Pall. und M. (E.) rattus L., als fakultatives Geschlechtsmerkmal",Mus,"sex_determination, thermal_modification",1,1,1,0,0,52,47,47,53764,C2 – Same genus active,10.3390/genes12091434; 10.1371/journal.pgen.1008959; 10.30802/aalas-cm-19-000034; 10.1007/s00412-019-00699-4; 10.1002/jnr.24496,YES,Layer 2
76,10.1007/bf02254271,1925,Przibram,"Die Schwanzlänge der Nachkommen temperaturmodifizierter Ratten, Mus (Epimys) decumanus Pall. und M. (E.) rattus L.",Mus,"thermal_modification, developmental_mechanics",2,2,1,1,0,56,45,45,76934,C2 – Same genus active,10.30802/aalas-jaalas-23-000091; 10.1016/j.applanim.2021.105541; 10.1016/j.memsci.2021.119868; 10.20473/ovz.v10i1.2021.18-24; 10.3847/1538-4357/abde38,YES,Layer 4
77,10.1007/bf02254272,1925,Przibram,Das Anwachsen der relativen Schwanzlänge und dessen Temperaturquotient bei den Ratten Mus (Epimys) decumanus Pall. und M. (Ep.) rattus L.,Mus,"thermal_modification, growth",1,1,1,0,0,56,45,45,76934,C2 – Same genus active,10.30802/aalas-jaalas-23-000091; 10.1016/j.applanim.2021.105541; 10.1016/j.memsci.2021.119868; 10.20473/ovz.v10i1.2021.18-24; 10.3847/1538-4357/abde38,YES,Layer 2
78,10.1007/bf02254273,1925,Sato / Brecher,Kann Dopa oder Tyrosin das Chromogen bei Wirbeltieren abgeben?,,pigmentation,7,7,7,0,0,0,0,0,0,C5 – No modern parallel,,,Layer 3
79,10.1007/bf02254274,1925,Brecher / Winkler,Übereinstimmung positiver und negativer Dopareaktiönen an Gefrierschnitten mit jenen an Extrakten,,pigmentation,5,5,5,0,0,0,0,0,0,C5 – No modern parallel,,,Layer 3
80,10.1007/bf02254275,1925,Sciacchitano,Quando si forma la Dopa nei bozzoli di Lophyrus Pini L.,Hymenoptera,pigmentation,5,5,5,0,0,28,0,0,1465,C3 – Related taxon active,,,Layer 1
81,10.1007/bf02254276,1925,Abolin,Beeinflussung des Fischfarbwechsels durch Chemikalien,Amphibia,"color_change, pigmentation",32,32,32,0,0,29,0,0,2345,C3 – Related taxon active,,,Layer 2
82,10.1007/bf02254277,1925,Przibram,Achsenverhältnisse und Entwicklungspotenzen der Urodelenextremitäten an Modellen zu Harrisons Transplantationsversuchen,,transplantation,10,10,10,0,0,0,0,0,0,C5 – No modern parallel,,,Layer 3
83,10.1007/bf02263792,1910,Kammerer,Die Wirkung äußerer Lebensbedingungen auf die organische Variation im Lichte der experimentellen Morphologie,,morphology,10,10,9,1,0,0,0,0,0,C5 – No modern parallel,,,Layer 3
84,10.1007/bf02263793,1910,Przibram,Die Verteilung formbildender Fähigkeiten am Tierkörper in dorso-ventraler Richtung,,"regeneration, developmental_mechanics",10,10,10,0,0,0,0,0,0,C5 – No modern parallel,,,Layer 3
85,10.1007/bf02266716,1913,Janda,FühlerÄhnliche Heteromorphosen an Stelle von Augen bei Stylopyga orientalis und Tenebrio molitor,Tenebrio molitor,heteromorphosis,7,7,7,0,2,3,0,0,3,C4 – Phenomenon only,,,Layer 1
86,10.1007/bf02266717,1913,Paul Kammerer,Vererbung erzwungener FarbverÄnderungen,Amphibia,inheritance_of_acquired,34,34,30,4,0,28,0,0,735,C3 – Related taxon active,,,Layer 2
87,10.1007/bf02266718,1913,Przibram,Die Kammerprogression der Foraminiferen als Parallele zur HÄutungsprogression der Mantiden,Fishes,developmental_mechanics,5,5,5,0,0,29,0,0,943018,C3 – Related taxon active,,,Layer 4
88,10.1007/bf02266719,1913,Uhlenhuth,Die synchrone Metamorphose transplantierter Salamanderaugen,Salamandra salamander,transplantation,31,31,31,0,1,24,4,4,145,C2 – Same genus active,10.3390/genes10110875; 10.3897/vz.68.e31600; 10.1038/hdy.2017.55; 10.1163/156853807782152543,,Layer 2
89,10.1007/bf02266720,1913,Walther,Die Umwelt des Keimplasmas,,developmental_mechanics,0,0,0,0,0,0,0,0,0,C5 – No modern parallel,,,none
90,10.1007/bf02287856,1912,Hammerschlag,Zuchtversuche mit japanischen Tanzmäusen und europäischen Laufmäusen,,,4,4,4,0,0,0,0,0,0,C5 – No modern parallel,,,Layer 4
91,10.1007/bf02287857,1912,Janda,Die Regeneration der Geschlechtsorgane bei Criodrilus lacuum Hoffm. I,Annelida,"regeneration, sex_determination",9,9,9,0,0,30,0,0,1408,C3 – Related taxon active,,,Layer 2
92,10.1007/bf02287858,1912,Kammerer,"Experimente über Fortpflanzung, Farbe, Augen und Körperreduction bei Proteus anguinus Laur",Proteus anguinus,"regeneration, inheritance_of_acquired",27,27,25,2,6,26,16,16,4151,C1 – Same species active,10.5281/zenodo.7553719; 10.32022/phi29.2020.112-113.12; 10.3986/fbg0050; 10.1093/rb/rbac042; 10.5101/nbe.v13i1.p82-93,,Layer 1
93,10.1007/bf02287859,1912,Megusar,Experimente über den Farbwechsel der Crustaceen,Crustacea,color_change,40,40,39,1,0,27,0,0,4021,C3 – Related taxon active,,,Layer 2
94,10.1007/bf02287860,1912,Przibram,Die Umwelt des Keimplasmas,,developmental_mechanics,10,10,6,4,0,0,0,0,0,C5 – No modern parallel,,,Layer 4
