bva_id,bva_doi,bva_year,bva_author,bva_title,bva_organism,citing_doi,citing_year,citing_author,citing_title,citing_topic,species_match,historiographic,type
9,10.1007/bf02079022,1926,Weiss,Ganzregenerate aus Halbem Extremitätenquerschnitt,Triton,10.1038/263676a0,1976,Susan V. Bryant,Regenerative failure of double half limbs in Notophthalmus viridescens,Developmental Biology and Gene Regulation,phenomenon_only,False,article
9,10.1007/bf02079022,1926,Weiss,Ganzregenerate aus Halbem Extremitätenquerschnitt,Triton,10.1002/jez.1402040302,1978,Susan V. Bryant,"Regenerative ability of double‐half and half upper arms in the newt, <i>Notophthalmus viridescens</i>",Developmental Biology and Gene Regulation,phenomenon_only,False,article
9,10.1007/bf02079022,1926,Weiss,Ganzregenerate aus Halbem Extremitätenquerschnitt,Triton,10.1002/jmor.1050980104,1956,Richard J. Goss,The relation of bone to the histogenesis of cartilage in regenerating forelimbs and tails of adult Triturus viridescens,Silkworms and Sericulture Research,same_genus_modern,False,article
9,10.1007/bf02079022,1926,Weiss,Ganzregenerate aus Halbem Extremitätenquerschnitt,Triton,10.1007/bf01380787,1970,N. J. de Both,The developmental potencies of the regeneration blastema of the axolotl limb,Congenital limb and hand anomalies,phenomenon_only,False,article
9,10.1007/bf02079022,1926,Weiss,Ganzregenerate aus Halbem Extremitätenquerschnitt,Triton,10.1002/jmor.1051540204,1977,Bruce M. Carlson,Inhibition and axial deviation of limb regeneration in the newt by means of a digit implanted into the amputated limb,Developmental Biology and Gene Regulation,phenomenon_only,False,article
9,10.1007/bf02079022,1926,Weiss,Ganzregenerate aus Halbem Extremitätenquerschnitt,Triton,10.1007/bf00577059,1974,Susan V. Bryant,The regulative ability of the limb regeneration blastema ofNotophlhalmus viridescens: Experimentsin situ,Developmental Biology and Gene Regulation,phenomenon_only,False,article
9,10.1007/bf02079022,1926,Weiss,Ganzregenerate aus Halbem Extremitätenquerschnitt,Triton,10.1007/978-3-642-51336-7_3,1927,K. W. Zimmermann,Die Speicheldrüsen der Mundhöhle und die Bauchspeicheldrüse,Pediatric health and respiratory diseases,phenomenon_only,False,book-chapter
9,10.1007/bf02079022,1926,Weiss,Ganzregenerate aus Halbem Extremitätenquerschnitt,Triton,10.1007/bf01380617,1933,B. I. Balinsky,"Das Extremit�tenseitenfeld, seine Ausdehnung und Beschaffenheit.",Orthopedic Surgery and Rehabilitation,phenomenon_only,False,article
9,10.1007/bf02079022,1926,Weiss,Ganzregenerate aus Halbem Extremitätenquerschnitt,Triton,10.1002/jmor.1051000307,1957,Richard J. Goss,The relation of skin to defect regulation in regenerating half limbs,Tree Root and Stability Studies,phenomenon_only,False,article
9,10.1007/bf02079022,1926,Weiss,Ganzregenerate aus Halbem Extremitätenquerschnitt,Triton,10.1002/jmor.1051010106,1957,Richard J. Goss,The effect of partial irradiation on the morphogenesis of limb regenerates,Pluripotent Stem Cells Research,phenomenon_only,False,article
9,10.1007/bf02079022,1926,Weiss,Ganzregenerate aus Halbem Extremitätenquerschnitt,Triton,10.1007/978-3-642-81041-1_3,1927,K. W. Zimmermann,Die Speicheldrüsen der Mundhöhle und die Bauchspeicheldrüse,Tumors and Oncological Cases,phenomenon_only,False,book-chapter
9,10.1007/bf02079022,1926,Weiss,Ganzregenerate aus Halbem Extremitätenquerschnitt,Triton,10.1007/bf00573763,1932,Lore Rose David,"Das Verhalten von Extremit�tenregeneraten des weissen und pigmentierten Axolotl bei heteroplastischer, heterotoper und orthotoper Transplantation und sukzessiver Regeneration",Tissue Engineering and Regenerative Medicine,phenomenon_only,False,article
9,10.1007/bf02079022,1926,Weiss,Ganzregenerate aus Halbem Extremitätenquerschnitt,Triton,10.1007/bf00580393,1930,Paul Weiß,Potenzpr�fung am Regenerationsblastem.,Tissue Engineering and Regenerative Medicine,phenomenon_only,False,article
9,10.1007/bf02079022,1926,Weiss,Ganzregenerate aus Halbem Extremitätenquerschnitt,Triton,10.1007/bf02080804,1927,Hans Przibram,Deutungen spiegelbildlicher Lurcharme,Reformation and Early Modern Christianity,phenomenon_only,False,article
9,10.1007/bf02079022,1926,Weiss,Ganzregenerate aus Halbem Extremitätenquerschnitt,Triton,10.1007/bf02153370,1950,F. Ghiretti,On the activity of acid- and alkaline phosphatase during tail regeneration inTriturus cristatus (Laur.),Plant Reproductive Biology,same_genus_modern,False,article
9,10.1007/bf02079022,1926,Weiss,Ganzregenerate aus Halbem Extremitätenquerschnitt,Triton,10.1007/bf02080952,1927,Paul Weiß,Potenzprüfung am Regenerationsblastem,Tissue Engineering and Regenerative Medicine,phenomenon_only,False,article
9,10.1007/bf02079022,1926,Weiss,Ganzregenerate aus Halbem Extremitätenquerschnitt,Triton,10.1080/713754336,1999,Arne von Kraft,Symmetry and Asymmetry in the Development of Inner Organs in Parabiotic Twins of Amphibians (Urodela),Morphological variations and asymmetry,phenomenon_only,False,article
9,10.1007/bf02079022,1926,Weiss,Ganzregenerate aus Halbem Extremitätenquerschnitt,Triton,10.1007/978-3-642-91062-3_4,1931,O. Mangold,Das Determinationsproblem,Prion Diseases and Protein Misfolding,phenomenon_only,False,book-chapter
9,10.1007/bf02079022,1926,Weiss,Ganzregenerate aus Halbem Extremitätenquerschnitt,Triton,10.1007/bf02110968,1929,Wilhelm Goetsch,Das Regenerationsmaterial und seine experimentelle Beeinflussung. (Versuch zur Einheitlichen Beurteilung der regenerativen Erscheinungen.),Engineering and Materials Science Studies,phenomenon_only,False,article
